"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.133620312E0,1.938917628E1,-9.904948928E1,2.222707856E3,2.215256836E3,8.840000153E0,2.101999969E2,1.213726988E-2,7.773934364E0,6.238608360E0,7.000000000E0
1.710478802E0,1.938908173E1,-9.904954710E1,2.222155446E3,2.214704102E3,9.239999771E0,2.101000061E2,2.238958003E-2,6.214385986E0,5.697943211E0,1.800000000E1
2.710672656E0,1.938899856E1,-9.904958929E1,2.222280959E3,2.214829346E3,9.449999809E0,2.093000031E2,3.219947301E-2,3.790092468E0,3.997897148E0,1.800000000E1
3.710761249E0,1.938891980E1,-9.904963143E1,2.222810027E3,2.215358154E3,9.710000038E0,2.096999969E2,4.168940915E-2,3.790092468E0,3.680777311E0,3.000000000E1
4.710165728E0,1.938884337E1,-9.904967169E1,2.223319310E3,2.215867188E3,9.819999695E0,2.091999969E2,5.147553606E-2,3.790092468E0,3.424801350E0,3.000000000E1
5.711567186E0,1.938876661E1,-9.904971733E1,2.223062003E3,2.215609619E3,1.001000023E1,2.088999939E2,6.173473776E-2,3.790092468E0,3.203371525E0,3.000000000E1
6.711342498E0,1.938868564E1,-9.904976422E1,2.223592062E3,2.216139404E3,1.015999985E1,2.096000061E2,7.229934253E-2,3.790092468E0,2.982099533E0,3.000000000E1
7.711404529E0,1.938860120E1,-9.904981039E1,2.223110164E3,2.215657227E3,9.930000305E0,2.086999969E2,8.199859427E-2,3.790092468E0,2.822041750E0,3.000000000E1
8.708050987E0,1.938852449E1,-9.904985441E1,2.223615305E3,2.216162109E3,9.659999847E0,2.093000031E2,9.184916795E-2,3.790092468E0,2.819681883E0,3.200000000E1
9.710956924E0,1.938844851E1,-9.904990270E1,2.223520110E3,2.216066650E3,9.350000381E0,2.101000061E2,1.010772267E-1,3.790092468E0,2.791185617E0,3.100000000E1
1.071278557E1,1.938837677E1,-9.904994693E1,2.223269137E3,2.215815430E3,9.180000305E0,2.091000061E2,1.097261414E-1,3.790092468E0,2.769978523E0,3.100000000E1
1.171253703E1,1.938830854E1,-9.904998652E1,2.223882649E3,2.216428711E3,8.510000229E0,2.093000031E2,1.182745043E-1,3.790092468E0,2.714056969E0,3.100000000E1
1.271141572E1,1.938824180E1,-9.905002697E1,2.223755192E3,2.216301025E3,8.260000229E0,2.098999939E2,1.264328003E-1,3.790092468E0,2.685282707E0,3.100000000E1
1.371075458E1,1.938817732E1,-9.905006408E1,2.223401405E3,2.215947021E3,8.229999542E0,2.088999939E2,1.344346720E-1,3.790092468E0,2.525768757E0,3.300000000E1
1.471114276E1,1.938811510E1,-9.905010241E1,2.223568124E3,2.216113525E3,8.350000381E0,2.088999939E2,1.430322296E-1,3.790092468E0,2.500000000E0,3.200000000E1
1.571137822E1,1.938804718E1,-9.905014158E1,2.223465081E3,2.216010254E3,8.369999886E0,2.081999969E2,1.514446416E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.671166390E1,1.938798047E1,-9.905017941E1,2.223815891E3,2.216360840E3,8.460000038E0,2.090000000E2,1.591591849E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.771242692E1,1.938792156E1,-9.905021826E1,2.224117368E3,2.216662109E3,8.359999657E0,2.096000061E2,1.679677125E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.870701791E1,1.938785464E1,-9.905026320E1,2.225059989E3,2.217604492E3,8.619999886E0,2.106000061E2,1.765531386E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.970555426E1,1.938778584E1,-9.905030035E1,2.224882482E3,2.217426758E3,8.640000343E0,2.091999969E2,1.857975839E-1,3.790092468E0,2.500000000E0,3.100000000E1
