"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,1.961274850E1,-9.898941660E1,2.242488781E3,2.235300049E3,NaN,NaN,2.143170230E-1,1.229199982E1,1.000000000E0,-1.000000000E0
0.000000000E0,1.961087580E1,-9.898990060E1,2.242287812E3,2.235100098E3,NaN,NaN,3.837531934E-1,1.451299953E1,1.000000000E0,-1.000000000E0
0.000000000E0,1.960971020E1,-9.899094250E1,2.242788194E3,2.235600098E3,NaN,NaN,5.844346488E-1,1.252799988E1,1.000000000E0,-1.000000000E0
0.000000000E0,1.960790840E1,-9.899105240E1,2.242086792E3,2.234900146E3,NaN,NaN,7.772312502E-1,1.350599957E1,1.038590789E0,-1.000000000E0
1.170377812E0,1.960963906E1,-9.899116420E1,1.859641461E3,1.852453125E3,NaN,NaN,7.844352468E-1,6.370921326E1,1.828602600E2,4.000000000E0
1.784438437E0,1.960969871E1,-9.899119104E1,1.850694774E3,1.843506348E3,NaN,NaN,1.011458826E0,1.138572693E2,1.828602600E2,4.000000000E0
2.786501874E0,1.960766135E1,-9.899105025E1,2.251938132E3,2.244751709E3,5.500000119E-1,3.368999939E2,1.019779547E0,2.710270691E1,2.983250999E1,4.000000000E0
3.786006978E0,1.960759315E1,-9.899101756E1,2.244658729E3,2.237472412E3,1.029999971E0,1.770000000E2,1.199077582E0,6.924207211E0,8.053958893E0,1.200000000E1
4.786769842E0,1.960920343E1,-9.899110666E1,3.422683964E3,3.415496094E3,9.300000072E-1,1.653000031E2,1.225236030E0,1.796350861E1,1.056272888E2,1.200000000E1
5.786861977E0,1.960896845E1,-9.899109473E1,3.237981103E3,3.230793457E3,1.389999986E0,1.721000061E2,1.262210509E0,1.561788464E1,8.652249146E1,8.000000000E0
