"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.178355859E1,1.932373760E1,-9.917445266E1,2.319175091E3,2.311330322E3,3.600000143E-1,2.676000061E2,6.093704513E-3,1.804107094E1,2.336249161E1,0.000000000E0
1.207025448E1,1.932377073E1,-9.917440640E1,2.293511595E3,2.285666992E3,0.000000000E0,NaN,8.912616283E-3,7.135859489E0,9.696475983E0,1.400000000E1
1.307023036E1,1.932379519E1,-9.917441346E1,2.284562579E3,2.276718018E3,0.000000000E0,NaN,1.171981612E-2,8.750680923E0,1.201317310E1,1.600000000E1
1.407037869E1,1.932381726E1,-9.917440047E1,2.282554935E3,2.274710449E3,0.000000000E0,NaN,1.222209531E-2,5.754826546E0,8.091896057E0,1.600000000E1
1.507110708E1,1.932381880E1,-9.917439597E1,2.283574454E3,2.275729980E3,0.000000000E0,NaN,1.637832559E-2,5.947396278E0,8.571904182E0,1.600000000E1
1.607036630E1,1.932384917E1,-9.917437288E1,2.277428099E3,2.269583740E3,0.000000000E0,NaN,1.865506387E-2,5.726375103E0,8.183496475E0,1.600000000E1
1.707025156E1,1.932383208E1,-9.917438483E1,2.280290222E3,2.272445801E3,7.300000191E-1,2.567000122E2,2.112299311E-2,5.003723621E0,7.031274319E0,1.600000000E1
1.807020822E1,1.932381419E1,-9.917437091E1,2.279670362E3,2.271825928E3,5.400000215E-1,2.015000000E2,2.337383482E-2,4.667706490E0,6.433197498E0,1.600000000E1
1.907072301E1,1.932379423E1,-9.917436734E1,2.280488271E3,2.272643799E3,3.899999857E-1,1.491999969E2,2.416337528E-2,4.348872185E0,5.798392773E0,1.700000000E1
2.007065666E1,1.932378713E1,-9.917436743E1,2.281960699E3,2.274116211E3,0.000000000E0,NaN,2.563204666E-2,4.245386124E0,5.607302666E0,1.700000000E1
2.107110906E1,1.932380009E1,-9.917437013E1,2.279528058E3,2.271683594E3,0.000000000E0,NaN,2.807691217E-2,4.123764038E0,5.540611267E0,1.700000000E1
2.207079801E1,1.932379424E1,-9.917439259E1,2.282559122E3,2.274714600E3,0.000000000E0,NaN,2.905251426E-2,4.098812580E0,5.595546722E0,1.700000000E1
2.307019692E1,1.932379690E1,-9.917440145E1,2.282246633E3,2.274402100E3,0.000000000E0,NaN,3.105868746E-2,3.978791714E0,5.249467373E0,1.700000000E1
