"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.069261500E-2,1.936999830E1,-9.914608070E1,2.240084385E3,2.232400146E3,NaN,NaN,0.000000000E0,4.974499893E1,9.309811592E0,-1.000000000E0
2.421726920E-1,1.936999830E1,-9.914608070E1,2.240084385E3,2.232400146E3,NaN,NaN,0.000000000E0,5.129899979E1,9.620612144E0,-1.000000000E0
2.558591530E-1,1.936999830E1,-9.914608070E1,2.240084385E3,2.232400146E3,NaN,NaN,1.048369293E-1,5.139000320E1,9.638812065E0,-1.000000000E0
1.517220831E1,1.936993833E1,-9.914508333E1,2.230982409E3,2.223300000E3,3.779605389E0,9.651000214E1,1.048369293E-1,3.799999952E0,2.189999962E1,1.500000000E1
1.567246654E1,1.936993833E1,-9.914508333E1,2.230882409E3,2.223200000E3,3.958213806E0,9.369000244E1,1.095563098E-1,3.299999952E0,1.960000038E1,1.500000000E1
1.667205762E1,1.936991167E1,-9.914504833E1,2.225482400E3,2.217800000E3,4.902729034E0,9.255999756E1,1.156867474E-1,2.900000095E0,1.960000038E1,2.300000000E1
1.767213146E1,1.936990833E1,-9.914499000E1,2.226682292E3,2.219000000E3,5.634149551E0,9.879000092E1,1.227193236E-1,2.799999952E0,1.889999962E1,2.500000000E1
1.867313169E1,1.936990167E1,-9.914492333E1,2.228582176E3,2.220900000E3,6.341892719E0,1.008799973E2,1.300790469E-1,2.599999905E0,1.879999924E1,2.600000000E1
1.967715762E1,1.936988667E1,-9.914485500E1,2.229882075E3,2.222200000E3,6.518957138E0,1.005000000E2,1.362984782E-1,2.599999905E0,1.860000038E1,2.500000000E1
2.067531639E1,1.936987667E1,-9.914479667E1,2.230981983E3,2.223300000E3,6.361452103E0,9.969999695E1,1.425947468E-1,2.599999905E0,1.870000076E1,2.700000000E1
2.167487446E1,1.936986333E1,-9.914473833E1,2.232881898E3,2.225200000E3,6.312553406E0,9.848999786E1,1.508868834E-1,2.599999905E0,1.870000076E1,2.600000000E1
2.267375639E1,1.936985333E1,-9.914466000E1,2.234181766E3,2.226500000E3,7.194272518E0,9.609999847E1,1.587583643E-1,2.500000000E0,1.889999962E1,2.700000000E1
2.367238862E1,1.936983833E1,-9.914458667E1,2.234981656E3,2.227300000E3,7.435677052E0,9.512000275E1,1.658710689E-1,2.500000000E0,1.879999924E1,2.600000000E1
2.467214562E1,1.936982667E1,-9.914452000E1,2.234281551E3,2.226600000E3,7.035737991E0,9.598999786E1,1.728865347E-1,2.400000095E0,1.920000076E1,2.600000000E1
2.567268892E1,1.936982167E1,-9.914445333E1,2.234681430E3,2.227000000E3,7.002281189E0,9.312000275E1,1.801405017E-1,2.299999952E0,1.910000038E1,2.700000000E1
2.673100616E1,1.936981167E1,-9.914438500E1,2.234781318E3,2.227100000E3,6.448440075E0,9.608000183E1,1.866068227E-1,2.200000048E0,1.960000038E1,2.700000000E1
2.773457023E1,1.936979833E1,-9.914432500E1,2.235481230E3,2.227800000E3,6.645578384E0,9.872000122E1,1.935476997E-1,2.200000048E0,1.920000076E1,2.900000000E1
2.873330000E1,1.936978667E1,-9.914426000E1,2.236181128E3,2.228500000E3,6.951838493E0,9.959999847E1,2.011210243E-1,2.299999952E0,1.970000076E1,2.900000000E1
2.973154523E1,1.936977000E1,-9.914419000E1,2.235781028E3,2.228100000E3,6.978603840E0,9.855000305E1,2.082022755E-1,2.200000048E0,1.839999962E1,2.900000000E1
3.073281393E1,1.936976000E1,-9.914412333E1,2.236080919E3,2.228400000E3,7.120152473E0,9.788999939E1,2.154869557E-1,2.200000048E0,1.879999924E1,2.800000000E1
3.173141323E1,1.936974833E1,-9.914405500E1,2.235980811E3,2.228300000E3,6.888012886E0,9.694999695E1,2.226934234E-1,2.200000048E0,1.779999924E1,2.800000000E1
3.273049323E1,1.936974167E1,-9.914398667E1,2.236480691E3,2.228800000E3,7.140741348E0,9.498000336E1,2.297479494E-1,2.200000048E0,1.839999962E1,2.800000000E1
3.373029139E1,1.936973333E1,-9.914392000E1,2.236780579E3,2.229100000E3,6.744405270E0,9.637000275E1,2.362591846E-1,2.200000048E0,1.789999962E1,2.800000000E1
3.473120523E1,1.936972667E1,-9.914385833E1,2.236880472E3,2.229200000E3,6.574032307E0,9.558999634E1,2.429441481E-1,2.200000048E0,1.760000038E1,2.800000000E1
3.573049608E1,1.936972000E1,-9.914379500E1,2.236580362E3,2.228900000E3,6.246668816E0,9.577999878E1,2.491081156E-1,2.099999905E0,1.770000076E1,2.800000000E1
3.673151139E1,1.936971333E1,-9.914373667E1,2.236280263E3,2.228600000E3,5.817390442E0,9.329000092E1,2.550784537E-1,2.200000048E0,1.820000076E1,2.800000000E1
3.772742523E1,1.936970833E1,-9.914368000E1,2.235780162E3,2.228100000E3,5.595545292E0,9.615000153E1,2.608954413E-1,2.200000048E0,1.800000000E1,2.800000000E1
3.872921916E1,1.936970167E1,-9.914362500E1,2.235180069E3,2.227500000E3,5.619737148E0,9.480999756E1,2.669429420E-1,2.099999905E0,1.860000038E1,2.700000000E1
3.973082616E1,1.936969167E1,-9.914356833E1,2.234579980E3,2.226900000E3,6.302258968E0,9.583999634E1,2.737500948E-1,2.099999905E0,1.889999962E1,2.700000000E1
4.072909754E1,1.936967833E1,-9.914350500E1,2.234679885E3,2.227000000E3,6.933308125E0,9.816000366E1,2.810347786E-1,2.099999905E0,1.810000038E1,2.700000000E1
4.173084031E1,1.936966667E1,-9.914343667E1,2.235279777E3,2.227600000E3,7.190669537E0,9.745999908E1,2.888074749E-1,2.000000000E0,1.760000038E1,2.700000000E1
4.273137669E1,1.936965667E1,-9.914336333E1,2.235579655E3,2.227900000E3,7.542739391E0,9.902999878E1,2.971265006E-1,2.000000000E0,1.770000076E1,2.700000000E1
4.373242962E1,1.936964500E1,-9.914328500E1,2.235879527E3,2.228200000E3,7.558181286E0,9.719999695E1,3.049278667E-1,2.000000000E0,1.670000076E1,2.700000000E1
4.473053262E1,1.936963333E1,-9.914321167E1,2.236079408E3,2.228400000E3,7.659066677E0,9.677999878E1,3.124579919E-1,2.000000000E0,1.569999981E1,2.700000000E1
