"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.093464583E0,1.934149090E1,-9.918295180E1,2.275060185E3,2.267238770E3,4.499999881E-1,7.890000153E1,3.762015518E-3,9.786005020E0,1.802867699E1,1.800000000E1
1.330366457E0,1.934148988E1,-9.918291596E1,2.277853818E3,2.270032471E3,4.499999881E-1,6.919999695E1,5.867820607E-3,9.696503639E0,1.886394501E1,1.800000000E1
2.329738593E0,1.934149964E1,-9.918289876E1,2.289748537E3,2.281927246E3,7.799999714E-1,6.930000305E1,7.515012867E-3,6.866646290E0,1.339884186E1,1.800000000E1
3.329495154E0,1.934150881E1,-9.918288643E1,2.290669879E3,2.282848633E3,8.100000024E-1,6.930000305E1,9.314142187E-3,5.623461246E0,1.098845291E1,3.000000000E1
4.329262499E0,1.934151563E1,-9.918287088E1,2.292252108E3,2.284430908E3,1.100000024E0,7.850000000E1,1.029479710E-2,5.584677696E0,9.400681496E0,3.300000000E1
5.330103852E0,1.934152175E1,-9.918286415E1,2.289300909E3,2.281479736E3,3.499999940E-1,4.570000076E1,1.191592956E-2,4.905512810E0,8.566917419E0,3.300000000E1
6.330024007E0,1.934153524E1,-9.918285829E1,2.289533533E3,2.281712402E3,1.059999943E0,1.789999962E1,1.451471439E-2,5.829581738E0,9.145076752E0,3.300000000E1
7.329260101E0,1.934155591E1,-9.918284673E1,2.287390152E3,2.279569092E3,1.379999995E0,2.460000038E1,1.622550795E-2,5.023487568E0,8.217578888E0,3.300000000E1
8.329416924E0,1.934156882E1,-9.918283786E1,2.285861297E3,2.278040283E3,1.009999990E0,3.600000000E1,1.780699401E-2,4.244251251E0,7.130826950E0,3.300000000E1
9.329546715E0,1.934157987E1,-9.918282837E1,2.283725755E3,2.275904785E3,9.100000262E-1,5.020000076E1,1.932787905E-2,3.972065210E0,6.440623283E0,3.300000000E1
1.032951515E1,1.934158927E1,-9.918281784E1,2.283705205E3,2.275884277E3,9.800000191E-1,6.740000153E1,2.104979378E-2,4.104134083E0,6.704791546E0,3.300000000E1
1.132950671E1,1.934159926E1,-9.918280530E1,2.281414875E3,2.273593994E3,1.070000052E0,6.619999695E1,2.293224381E-2,3.804578066E0,6.015434742E0,3.300000000E1
1.232991817E1,1.934161056E1,-9.918279194E1,2.279805448E3,2.271984619E3,1.169999957E0,6.300000000E1,2.479185947E-2,3.790092468E0,5.738669872E0,3.300000000E1
