"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.843950272E-3,1.935569638E1,-9.916178735E1,2.255158333E3,2.247410836E3,NaN,NaN,2.304237012E-2,9.824953387E1,4.064961798E1,-1.000000000E0
7.490500212E-1,1.935584818E1,-9.916193686E1,2.255777356E3,2.248029906E3,NaN,NaN,3.098503687E-2,3.922203020E1,3.574284588E1,-1.000000000E0
3.461100698E0,1.935587069E1,-9.916186501E1,2.254391527E3,2.246644271E3,0.000000000E0,NaN,3.176919277E-2,3.270253655E1,5.523363495E1,-1.000000000E0
4.461080194E0,1.935586445E1,-9.916186152E1,2.256493913E3,2.248746649E3,3.690299392E-1,NaN,3.707223859E-2,2.497436619E1,3.000000000E0,-1.000000000E0
5.461058378E0,1.935586472E1,-9.916181097E1,2.256318774E3,2.248571610E3,3.690299392E-1,NaN,3.809036498E-2,1.702216791E1,3.000000000E0,-1.000000000E0
6.461037636E0,1.935587256E1,-9.916181598E1,2.256470463E3,2.248723307E3,4.961849749E-1,NaN,4.114525307E-2,1.251460989E1,3.000000000E0,-1.000000000E0
7.461017132E0,1.935589212E1,-9.916179554E1,2.256174194E3,2.248427123E3,6.428848505E-1,NaN,4.263577110E-2,1.011669424E1,3.000000000E0,-1.000000000E0
8.460996151E0,1.935590281E1,-9.916178695E1,2.256131139E3,2.248384108E3,3.595316410E-1,NaN,4.362673104E-2,8.162784270E0,3.000000000E0,-1.000000000E0
9.236113310E0,1.935590368E1,-9.916179635E1,2.256106559E3,2.248359512E3,1.630144864E-1,NaN,4.442222029E-2,4.495895377E0,3.000000000E0,-1.000000000E0
1.023612142E1,1.935590755E1,-9.916178998E1,2.255780693E3,2.248033668E3,3.374015391E-1,NaN,4.587797324E-2,3.501728498E0,3.000000000E0,-1.000000000E0
1.123609698E1,1.935591475E1,-9.916177839E1,2.255677189E3,2.247930203E3,3.374015391E-1,6.554157320E1,4.858277452E-2,3.315688282E0,3.000000000E0,-1.000000000E0
1.223616111E1,1.935592394E1,-9.916175452E1,2.255382395E3,2.247635477E3,1.045103073E0,7.077477535E1,5.162498581E-2,3.159956487E0,3.000000000E0,-1.000000000E0
1.323621678E1,1.935593127E1,-9.916172658E1,2.254777492E3,2.247030645E3,2.733636141E0,8.044109129E1,5.544234684E-2,2.928396921E0,3.000000000E0,-1.000000000E0
1.423625147E1,1.935593720E1,-9.916169074E1,2.254540535E3,2.246793773E3,3.264715672E0,8.017414701E1,5.885613637E-2,2.942319355E0,3.000000000E0,-1.000000000E0
1.523630965E1,1.935594415E1,-9.916165905E1,2.254260905E3,2.246514221E3,3.264715672E0,7.783038125E1,6.211580483E-2,2.914692134E0,3.000000000E0,-1.000000000E0
1.623636997E1,1.935595037E1,-9.916162868E1,2.254260905E3,2.246514295E3,3.264715672E0,7.783039132E1,6.646253777E-2,4.748651530E0,3.910109062E0,-1.000000000E0
1.723639679E1,1.935595465E1,-9.916158750E1,2.254001581E3,2.246255062E3,3.664784670E0,8.041516846E1,7.100568122E-2,1.424595459E1,1.193283892E1,-1.000000000E0
1.823644388E1,1.935595684E1,-9.916154426E1,2.253810002E3,2.246063573E3,4.075675964E0,8.456934555E1,7.616891931E-2,1.424595459E1,1.269069286E1,-1.000000000E0
1.923648858E1,1.935596455E1,-9.916149572E1,2.253687072E3,2.245940756E3,4.461647987E0,7.889754382E1,8.106870448E-2,1.424595459E1,1.265077549E1,-1.000000000E0
2.023650956E1,1.935597855E1,-9.916145144E1,2.253579854E3,2.245833657E3,4.357494831E0,7.656126351E1,8.581884936E-2,1.424595459E1,1.278153465E1,-1.000000000E0
2.123655152E1,1.935598530E1,-9.916140673E1,2.253482165E3,2.245736072E3,4.357494831E0,7.964075007E1,8.974246021E-2,1.424595459E1,1.258258494E1,-1.000000000E0
2.223659086E1,1.935599594E1,-9.916137107E1,2.253331352E3,2.245585353E3,4.237209797E0,7.679327102E1,9.471800387E-2,1.424595459E1,1.206436383E1,-1.000000000E0
2.323660398E1,1.935600955E1,-9.916132589E1,2.253340277E3,2.245594398E3,4.329815388E0,7.568260735E1,9.904720321E-2,1.424595459E1,1.843734714E1,-1.000000000E0
2.423661435E1,1.935601312E1,-9.916128480E1,2.253161113E3,2.245415323E3,4.329815388E0,7.510442497E1,1.041231558E-1,1.424595459E1,1.559736307E1,-1.000000000E0
2.523662198E1,1.935602714E1,-9.916123875E1,2.253226009E3,2.245480341E3,4.470816612E0,7.310407459E1,1.090675027E-1,1.424595459E1,1.919365451E1,-1.000000000E0
2.623662829E1,1.935603745E1,-9.916119291E1,2.253173621E3,2.245428067E3,4.739521503E0,7.750321612E1,1.139062257E-1,1.424595459E1,1.520928176E1,-1.000000000E0
2.723663342E1,1.935604321E1,-9.916114719E1,2.253323530E3,2.245578080E3,4.789138794E0,8.004015357E1,1.191648702E-1,1.424595459E1,1.446395417E1,-1.000000000E0
2.823663759E1,1.935605322E1,-9.916109820E1,2.253691662E3,2.245946331E3,4.739521503E0,7.819385757E1,1.245839273E-1,1.424595459E1,1.389387261E1,-1.000000000E0
2.923663986E1,1.935606293E1,-9.916104758E1,2.253477394E3,2.245732185E3,4.789138794E0,7.744983834E1,1.295384544E-1,1.424595459E1,1.730782036E1,-1.000000000E0
3.023664021E1,1.935607332E1,-9.916100165E1,2.253682324E3,2.245937228E3,4.899180889E0,7.839617511E1,1.349704784E-1,1.424595459E1,1.431784023E1,-1.000000000E0
3.123663902E1,1.935608652E1,-9.916095180E1,2.253861241E3,2.246116274E3,5.090386868E0,7.625382526E1,1.400995183E-1,1.424595459E1,1.770082268E1,-1.000000000E0
3.223663723E1,1.935609806E1,-9.916090447E1,2.254109795E3,2.246364947E3,5.090386868E0,7.692835430E1,1.457702855E-1,1.424595459E1,1.395617266E1,-1.000000000E0
3.323663414E1,1.935610624E1,-9.916085111E1,2.254074752E3,2.246330028E3,5.302788734E0,8.076087676E1,1.511587987E-1,1.424595459E1,1.349576164E1,-1.000000000E0
3.423663080E1,1.935611551E1,-9.916080070E1,2.254164700E3,2.246420096E3,5.302788734E0,8.151001877E1,1.566131487E-1,1.424595459E1,1.392275406E1,-1.000000000E0
3.523662901E1,1.935612657E1,-9.916075005E1,2.254023592E3,2.246279114E3,5.221944809E0,7.895600576E1,1.615546610E-1,1.424595459E1,1.425016530E1,-1.000000000E0
