"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.414916039E-3,1.936343676E1,-9.915478824E1,2.249233089E3,2.241516879E3,NaN,NaN,8.055575606E-3,3.059655551E1,3.000000000E1,-1.000000000E0
9.027659893E-1,1.936342808E1,-9.915471201E1,2.250107146E3,2.242391066E3,NaN,NaN,1.027645393E-2,2.969235677E1,3.000000000E1,-1.000000000E0
3.456542373E0,1.936342253E1,-9.915473234E1,2.245897847E3,2.238181715E3,3.511878550E-1,NaN,2.147246470E-2,1.566546546E1,3.126098061E1,-1.000000000E0
4.456520557E0,1.936333768E1,-9.915467488E1,2.250663168E3,2.242946958E3,5.695872307E-1,NaN,2.372212311E-2,1.144237888E1,3.000000000E0,-1.000000000E0
5.456499934E0,1.936335619E1,-9.915468355E1,2.250514177E3,2.242797992E3,4.074122608E-1,NaN,2.704479291E-2,1.056291705E1,3.000000000E0,-1.000000000E0
6.456478596E0,1.936338453E1,-9.915467349E1,2.250621730E3,2.242905628E3,5.695872307E-1,3.129774088E2,2.972981523E-2,1.400000000E1,3.000000000E0,-1.000000000E0
7.456457496E0,1.936338803E1,-9.915469881E1,2.250391041E3,2.242674897E3,1.150972366E0,3.056628499E2,3.198800495E-2,5.397783010E0,3.000000000E0,-1.000000000E0
8.456435084E0,1.936339352E1,-9.915471954E1,2.250385648E3,2.242669475E3,1.790788054E0,2.910013024E2,3.425936141E-2,5.413344317E0,3.000000000E0,-1.000000000E0
9.456585050E0,1.936340328E1,-9.915473855E1,2.250495180E3,2.242778992E3,2.158233881E0,2.951592757E2,3.693601638E-2,5.353975974E0,3.000000000E0,-1.000000000E0
1.045659590E1,1.936342557E1,-9.915474819E1,2.250290840E3,2.242574683E3,2.158233881E0,2.883596858E2,3.908161492E-2,5.084113140E0,3.000000000E0,-1.000000000E0
1.145657504E1,1.936342777E1,-9.915476851E1,2.250063882E3,2.242347690E3,2.161248446E0,2.851111658E2,4.198652952E-2,4.600887477E0,3.000000000E0,-1.000000000E0
1.245658660E1,1.936343005E1,-9.915479610E1,2.249697298E3,2.241981057E3,3.101631165E0,2.816778756E2,4.607094807E-2,4.120576486E0,3.000000000E0,-1.000000000E0
1.345659769E1,1.936343311E1,-9.915483489E1,2.249140347E3,2.241424037E3,3.657335043E0,2.819369857E2,4.963068789E-2,3.724621403E0,3.000000000E0,-1.000000000E0
1.445657659E1,1.936344002E1,-9.915486803E1,2.248722401E3,2.241006040E3,3.657335043E0,2.848833654E2,5.328286684E-2,3.341582561E0,3.000000000E0,-1.000000000E0
1.545658815E1,1.936344850E1,-9.915490166E1,2.248722401E3,2.241005994E3,3.657335043E0,2.848833542E2,5.711265635E-2,4.748651530E0,3.410588821E0,-1.000000000E0
1.645659912E1,1.936344734E1,-9.915493815E1,2.248643733E3,2.240927251E3,3.829366684E0,2.790356460E2,6.286159951E-2,1.424595459E1,1.154411146E1,-1.000000000E0
1.745657873E1,1.936344485E1,-9.915499289E1,2.248587110E3,2.240870514E3,4.281567097E0,2.751731998E2,6.755834506E-2,1.424595459E1,1.253697609E1,-1.000000000E0
