"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.025903225E-2,1.936910277E1,-9.915379034E1,2.253270101E3,2.245568649E3,NaN,NaN,9.464474610E-3,2.079501400E1,3.000098979E1,-1.000000000E0
1.133692265E-2,1.936902483E1,-9.915375408E1,2.249735097E3,2.242033540E3,NaN,NaN,1.091697330E-2,4.842516595E0,3.000000000E1,-1.000000000E0
1.989217997E0,1.936901292E1,-9.915375976E1,2.249735107E3,2.242033512E3,NaN,NaN,1.616696231E-2,4.835227137E0,3.000000000E1,-1.000000000E0
2.922145009E0,1.936896596E1,-9.915376493E1,2.249743330E3,2.242041619E3,NaN,NaN,2.130782077E-2,1.531580322E1,3.000000000E1,-1.000000000E0
3.455906510E0,1.936892097E1,-9.915375363E1,2.248978218E3,2.241276428E3,0.000000000E0,NaN,3.529968333E-2,2.707015673E1,8.930760193E1,-1.000000000E0
4.455883861E0,1.936904663E1,-9.915374660E1,2.250596213E3,2.242894720E3,3.193717897E-1,NaN,4.103291826E-2,1.654551542E1,3.000000000E0,-1.000000000E0
5.455860853E0,1.936901664E1,-9.915370214E1,2.250743838E3,2.243042365E3,3.193717897E-1,1.958593491E2,4.307121486E-2,9.788424481E0,3.000000000E0,-1.000000000E0
6.632836580E0,1.936902173E1,-9.915372081E1,2.250507612E3,2.242806114E3,1.118815541E0,1.928178795E2,4.536203942E-2,5.451169684E0,3.000000000E0,-1.000000000E0
7.632814050E0,1.936900113E1,-9.915372103E1,2.250294178E3,2.242592633E3,2.360589981E0,1.856657016E2,4.828682252E-2,5.011192381E0,3.000000000E0,-1.000000000E0
8.632790565E0,1.936897620E1,-9.915372992E1,2.249880713E3,2.242179094E3,2.842234612E0,1.798697806E2,5.198206041E-2,4.896857608E0,3.000000000E0,-1.000000000E0
9.632937789E0,1.936894307E1,-9.915373265E1,2.249544477E3,2.241842778E3,2.842234612E0,1.821373488E2,5.603487421E-2,4.683238030E0,3.000000000E0,-1.000000000E0
1.063294601E1,1.936890732E1,-9.915374018E1,2.249055196E3,2.241353401E3,3.365621567E0,1.835195742E2,6.093338167E-2,4.441563111E0,3.000000000E0,-1.000000000E0
1.163292384E1,1.936886481E1,-9.915375242E1,2.248508711E3,2.240806796E3,4.025160789E0,1.860035091E2,6.528300461E-2,4.186420307E0,3.000000000E0,-1.000000000E0
1.263297033E1,1.936882628E1,-9.915375961E1,2.248292880E3,2.240590864E3,4.475064754E0,1.863051712E2,6.984698414E-2,3.919854308E0,3.000000000E0,-1.000000000E0
1.363301778E1,1.936878567E1,-9.915376591E1,2.248270126E3,2.240568006E3,4.103038311E0,1.920037073E2,7.472098851E-2,3.629315031E0,3.000000000E0,-1.000000000E0
1.463302493E1,1.936874287E1,-9.915377594E1,2.248082681E3,2.240380444E3,4.475064754E0,1.949682826E2,7.921296789E-2,3.535185578E0,3.000000000E0,-1.000000000E0
1.563306248E1,1.936870383E1,-9.915378694E1,2.248082682E3,2.240380336E3,4.475064754E0,1.949682790E2,8.512448542E-2,4.748651530E0,3.223809295E0,-1.000000000E0
1.663309908E1,1.936865174E1,-9.915379820E1,2.248336745E3,2.240634259E3,4.732876301E0,1.891252037E2,9.021578222E-2,1.424595459E1,9.840111768E0,-1.000000000E0
1.763310432E1,1.936860678E1,-9.915380737E1,2.247971954E3,2.240269348E3,4.732876301E0,1.904205624E2,9.436651594E-2,1.424595459E1,1.376479501E1,-1.000000000E0
1.863313937E1,1.936857043E1,-9.915381638E1,2.247990881E3,2.240288175E3,4.403592587E0,1.911938354E2,9.905967321E-2,1.424595459E1,1.378369472E1,-1.000000000E0
1.963317192E1,1.936852826E1,-9.915381832E1,2.248020988E3,2.240318183E3,4.346019268E0,1.794625649E2,1.042314770E-1,1.424595459E1,1.245179571E1,-1.000000000E0
2.063317192E1,1.936848178E1,-9.915381650E1,2.247587551E3,2.239884646E3,4.664205551E0,1.789694527E2,1.101964520E-1,1.424595459E1,1.617607221E1,-1.000000000E0
2.163320124E1,1.936843323E1,-9.915384069E1,2.247790437E3,2.240087374E3,5.029931068E0,1.932893228E2,1.154587965E-1,1.424595459E1,1.847483125E1,-1.000000000E0
2.263323164E1,1.936838838E1,-9.915385670E1,2.247632644E3,2.239929448E3,5.029931068E0,1.953559053E2,1.208734789E-1,1.424595459E1,2.048344475E1,-1.000000000E0
2.363322806E1,1.936834055E1,-9.915386636E1,2.247426637E3,2.239723315E3,5.047454834E0,1.920914036E2,1.260153607E-1,1.424595459E1,2.255140535E1,-1.000000000E0
2.463322258E1,1.936829600E1,-9.915387952E1,2.247402603E3,2.239699153E3,5.179113388E0,1.928174251E2,1.317576108E-1,1.424595459E1,1.459605086E1,-1.000000000E0
2.563321447E1,1.936824593E1,-9.915389290E1,2.247526060E3,2.239822471E3,5.201168060E0,1.926018097E2,1.373955622E-1,1.424595459E1,1.744108783E1,-1.000000000E0
2.663320625E1,1.936819555E1,-9.915389901E1,2.247366803E3,2.239663088E3,5.201168060E0,1.890529674E2,1.431553761E-1,1.424595459E1,1.936427086E1,-1.000000000E0
2.763319635E1,1.936814541E1,-9.915391279E1,2.247228903E3,2.239525048E3,5.456810474E0,1.921726826E2,1.489151542E-1,1.424595459E1,2.090421546E1,-1.000000000E0
2.863318741E1,1.936809443E1,-9.915392249E1,2.247344299E3,2.239640310E3,5.641725063E0,1.888491407E2,1.543374231E-1,1.424595459E1,1.339035355E1,-1.000000000E0
2.963317704E1,1.936804781E1,-9.915393765E1,2.247687350E3,2.239983225E3,5.426658630E0,1.914012266E2,1.602920902E-1,1.424595459E1,1.213984330E1,-1.000000000E0
3.063316417E1,1.936799470E1,-9.915394492E1,2.248183072E3,2.240478813E3,5.495543003E0,1.907019520E2,1.657248763E-1,1.424595459E1,1.217100713E1,-1.000000000E0
3.163315260E1,1.936794606E1,-9.915394980E1,2.247759065E3,2.240054688E3,5.426658630E0,1.914874099E2,1.707266700E-1,1.424595459E1,1.416074524E1,-1.000000000E0
